Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[203-203],2m 1s,10.3.0.30,6720,files,60,60,0.211,426.333,60,0,0,0
[204-204],1m 59s,10.3.0.30,6719,files,60,60,0.33,655.333,60,0,0,0
[205-205],2m 1s,10.3.0.30,6720,files,80,80,0.568,858.75,80,0,0,0
[206-206],2m 1s,10.3.0.30,6720,files,80,80,0.431,651.75,80,0,0,0
[207-207],2m 1s,10.3.0.30,6720,files,40,40,0.374,754,60,0,0,0
[208-208],2m 1s,10.3.0.30,6720,files,80,80,0.363,731.333,60,0,0,0
[209-209],2m 1s,10.3.0.30,6720,files,40,40,0.264,798.5,40,0,0,0
[21-21],1m 57s,10.3.0.31,6727,files,60,60,0.439,642,80,0,0,0
[210-210],2m 1s,10.3.0.30,6720,files,80,80,1.193,2406.667,60,0,0,0
[211-211],1m 58s,10.3.0.30,6717,files,60,60,0.307,906,40,0,0,0
[212-212],1m 59s,10.3.0.30,6719,files,60,60,0.212,420.333,60,0,0,0
[213-213],1m 58s,10.3.0.30,6717,files,60,60,0.604,890.5,80,0,0,0
[214-214],1m 58s,10.3.0.30,6717,files,60,60,0.494,971,60,0,0,0
[215-215],1m 59s,10.3.0.30,6719,files,40,40,0.499,990,60,0,0,0
[216-216],1m 59s,10.3.0.30,6719,files,60,60,0.144,427,40,0,0,0
[217-217],1m 59s,10.3.0.30,6719,files,60,60,0.366,725.333,60,0,0,0
[218-218],1m 59s,10.3.0.30,6719,files,40,40,0.214,424.667,60,0,0,0
[219-219],1m 59s,10.3.0.30,6719,files,60,60,1.516,3006,60,0,0,0
[22-22],2m 3s,10.3.0.35,6742,files,60,60,0.136,419,40,0,0,0
[220-220],1m 58s,10.3.0.25,6736,files,60,60,0.351,691,60,0,0,0
[221-221],1m 58s,10.3.0.25,6736,files,80,80,1.153,1701.25,80,0,0,0
[222-222],1m 58s,10.3.0.25,6736,files,60,60,0.214,421,60,0,0,0
[223-223],1m 58s,10.3.0.25,6736,files,60,60,0.441,649.75,80,0,0,0
[224-224],1m 59s,10.3.0.25,6735,files,80,80,0.564,839.25,80,0,0,0
[225-225],1m 59s,10.3.0.25,6735,files,60,60,0.517,1025.667,60,0,0,0
[226-226],1m 59s,10.3.0.25,6735,files,40,40,1.785,3540.667,60,0,0,0
[227-227],1m 59s,10.3.0.25,6735,files,80,80,0.447,665.25,80,0,0,0
[228-228],1m 59s,10.3.0.25,6735,files,60,60,0.502,996.333,60,0,0,0
[229-229],1m 57s,10.3.0.25,6734,files,60,60,0.763,1488.333,60,0,0,0
[23-23],1m 57s,10.3.0.31,6727,files,80,80,0.216,420.333,60,0,0,0
[230-230],1m 57s,10.3.0.25,6734,files,60,60,0.374,730,60,0,0,0
[231-231],1m 57s,10.3.0.25,6734,files,80,80,0.369,719,60,0,0,0
[232-232],1m 57s,10.3.0.25,6734,files,60,60,0.379,738.667,60,0,0,0
[233-233],1m 57s,10.3.0.25,6734,files,60,60,0.368,717.667,60,0,0,0
[234-234],1m 59s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
